CURRENT DATE: 10/18/2019,INDEX CRIMES BY COUNTY FOR JUL - 2019 TO SEP - 2019,,,,,,,,,PAGE: 9,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0090100,BAYONNE PD,66824,,,,,,,,,
,Number of Offenses,,2,9,43,71,93,446,57,721,10
,"Rate Per 100,000",,3,13.5,64.4,106.2,139.2,667.4,85.2,1078.9,0
,Number of Clearances,,2,4,28,55,22,72,4,187,0
,Percent Cleared,,200,93,285,327,79,69,20,109,0
,Number of Arrests,,1,4,35,60,30,88,5,223,0
NJ0090200,EAST NEWARK PD,2740,,,,,,,,,
,Number of Offenses,,0,0,1,0,3,18,3,25,12
,"Rate Per 100,000",,0,0,36.5,0,109.5,657,109.5,912.5,0
,Number of Clearances,,0,0,0,0,0,1,0,1,0
,Percent Cleared,,0,0,0,0,0,13,0,11,0
,Number of Arrests,,0,0,0,1,0,0,1,2,0
NJ0090300,GUTTENBERG PD,11602,,,,,,,,,
,Number of Offenses,,0,0,13,14,12,53,6,98,12
,"Rate Per 100,000",,0,0,112.1,120.7,103.4,456.8,51.7,844.6,0
,Number of Clearances,,0,0,2,9,1,1,0,13,0
,Percent Cleared,,0,0,53,188,20,6,0,53,0
,Number of Arrests,,0,0,2,9,1,3,0,15,0
NJ0090400,HARRISON PD,18058,,,,,,,,,
,Number of Offenses,,0,5,14,28,49,262,30,388,12
,"Rate Per 100,000",,0,27.7,77.5,155.1,271.4,1450.9,166.1,2148.6,0
,Number of Clearances,,0,3,8,17,11,32,3,74,0
,Percent Cleared,,0,150,183,255,92,48,36,76,0
,Number of Arrests,,0,3,9,17,13,31,3,76,0
NJ0090500,HOBOKEN PD,55096,,,,,,,,,
,Number of Offenses,,0,2,14,63,73,562,31,745,12
,"Rate Per 100,000",,0,3.6,25.4,114.4,132.5,1020,56.3,1352.2,0
,Number of Clearances,,0,1,7,36,21,77,10,152,0
,Percent Cleared,,0,100,200,227,112,57,134,83,0
,Number of Arrests,,0,0,9,83,102,90,3,287,0
NJ0098900,HUDSON CO PROSECUTOR' OFF - S/FORCE,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,0,0,0,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,1,1,0,2,0
NJ0090000,HUDSON CO SHERIFF'S DEPT,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,0,0,0,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0090600,JERSEY CITY PD,270175,,,,,,,,,
,Number of Offenses,,13,81,431,868,890,3514,670,6467,12
,"Rate Per 100,000",,4.7,30.1,159.6,321.2,329.4,1300.7,248,2393.7,0
,Number of Clearances,,6,4,118,447,112,302,54,1043,0
,Percent Cleared,,167,21,116,207,51,35,33,66,0
,Number of Arrests,,4,3,136,405,128,244,39,959,0
NJ0090700,KEARNY PD,42339,,,,,,,,,
,Number of Offenses,,0,0,13,41,36,541,84,715,12
,"Rate Per 100,000",,0,0,30.6,96.9,85.1,1277.8,198.5,1688.7,0
,Number of Clearances,,0,0,8,30,6,212,1,257,0
,Percent Cleared,,0,0,233,291,59,161,7,147,0
,Number of Arrests,,0,0,14,36,8,267,10,335,0
NJ0090800,NORTH BERGEN PD,63166,,,,,,,,,
,Number of Offenses,,1,16,17,56,54,306,44,494,12
,"Rate Per 100,000",,1.6,25.3,26.9,88.6,85.5,484.5,69.6,782.1,0
,Number of Clearances,,2,7,9,49,17,134,5,223,0
,Percent Cleared,,100,149,213,376,129,174,31,181,0
,Number of Arrests,,1,8,15,42,21,149,6,242,0
NJNYPOA00,PORT AUTHORITY OF NY AND NJ,0,,,,,,,,,
,Number of Offenses,,0,0,14,37,9,578,25,663,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,7,43,8,126,1,185,0
,Percent Cleared,,0,0,263,481,384,91,20,115,0
,Number of Arrests,,0,0,11,41,16,142,7,217,0
NJ0090900,SECAUCUS PD,20482,,,,,,,,,
,Number of Offenses,,0,3,11,27,31,466,19,557,12
,"Rate Per 100,000",,0,14.7,53.7,131.8,151.3,2275.2,92.8,2719.5,0
,Number of Clearances,,0,0,6,20,14,67,3,110,0
,Percent Cleared,,0,0,190,320,207,58,118,79,0
,Number of Arrests,,0,0,7,12,15,80,1,115,0
NJ009149E,STEVENS INSTITUTE OF TECHNOLOGY,0,,,,,,,,,
,Number of Offenses,,0,2,0,0,1,16,0,19,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,1,2,0,0,3,0
NJ0091000,UNION CITY PD,69950,,,,,,,,,
,Number of Offenses,,0,15,52,128,115,976,89,1375,12
,"Rate Per 100,000",,0,21.5,74.3,183,164.4,1395.3,127.3,1965.8,0
,Number of Clearances,,0,12,16,99,32,95,6,260,0
,Percent Cleared,,0,283,134,305,105,39,26,74,0
,Number of Arrests,,0,5,29,108,37,107,8,294,0
NJ0091100,WEEHAWKEN PD,15567,,,,,,,,,
,Number of Offenses,,0,5,4,13,41,178,12,253,12
,"Rate Per 100,000",,0,32,25.6,83.5,263.4,1143.4,77,1625.2,0
,Number of Clearances,,0,1,2,5,5,19,1,33,0
,Percent Cleared,,0,100,100,198,48,43,17,52,0
,Number of Arrests,,0,0,4,11,23,20,0,58,0
NJ0091200,WEST NEW YORK PD,54095,,,,,,,,,
,Number of Offenses,,1,13,58,56,85,581,27,821,12
,"Rate Per 100,000",,1.8,23.9,107.2,103.5,157.2,1074,49.9,1517.7,0
,Number of Clearances,,2,4,19,35,15,51,1,127,0
,Percent Cleared,,100,76,129,250,76,36,14,63,0
,Number of Arrests,,1,4,31,42,18,49,1,146,0
,County Totals - Hudson County,,,,,,,,,,
,Population,690094,,,,,,,,,
,Number of Offenses,,17,151,685,1402,1492,8497,1097,13341,0
,"Rate Per 100,000",,2.5,21.9,99.2,203.2,216.2,1231.3,159,1933.1,0
,Number of Clearances,,12,36,230,845,264,1189,89,2665,0
,Percent Cleared,,292,98,139,244,72,58,35,82,0
,Number of Arrests,,7,27,302,868,415,1271,84,2974,0
