,,,,,,,,,,PAGE: 17,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0171300,CARNEY'S POINT PD,7655,,,,,,,,,
,Number of Offenses,,0,10,3,4,18,80,6,121,12
,"Rate Per 100,000",,0,130.7,39.2,52.3,235.1,1045,78.4,1580.7,0
,Number of Clearances,,0,2,1,3,2,12,1,21,0
,Percent Cleared,,0,45,50,167,47,60,33,71,0
,Number of Arrests,,0,2,3,3,0,12,1,21,0
NJ0170200,ELMER BORO PD,1301,,,,,,,,,
,Number of Offenses,,1,0,0,0,0,5,0,6,12
,"Rate Per 100,000",,76.9,0,0,0,0,384.3,0,461.2,0
,Number of Clearances,,1,0,0,0,0,3,0,4,0
,Percent Cleared,,100,0,0,0,0,100,0,200,0
,Number of Arrests,,0,0,0,1,0,3,0,4,0
NJ0170300,ELSINBORO TWP PD,968,,,,,,,,,
,Number of Offenses,,0,0,0,2,1,10,0,13,12
,"Rate Per 100,000",,0,0,0,206.6,103.3,1033,0,1342.9,0
,Number of Clearances,,0,0,0,2,1,1,0,4,0
,Percent Cleared,,0,0,0,200,100,100,0,214,0
,Number of Arrests,,0,0,0,2,0,0,1,3,0
NJ0170400,LOWER ALLOWAYS CREEK TWP PD,1676,,,,,,,,,
,Number of Offenses,,0,0,0,1,0,3,0,4,12
,"Rate Per 100,000",,0,0,0,59.7,0,179.1,0,238.7,0
,Number of Clearances,,0,0,0,1,0,1,0,2,0
,Percent Cleared,,0,0,0,100,0,100,0,150,0
,Number of Arrests,,0,0,0,1,0,0,0,1,0
NJ0170800,PENNS GROVE PD,4790,,,,,,,,,
,Number of Offenses,,1,7,14,28,29,106,12,197,11
,"Rate Per 100,000",,20.9,146.2,292.2,584.5,605.5,2213,250.5,4112.7,0
,Number of Clearances,,1,3,5,9,4,36,2,60,0
,Percent Cleared,,100,100,157,134,60,129,58,121,0
,Number of Arrests,,0,1,11,9,6,45,4,76,0
NJ0170500,PENNSVILLE PD,12378,,,,,,,,,
,Number of Offenses,,0,0,3,15,18,177,6,219,12
,"Rate Per 100,000",,0,0,24.3,121.2,145.4,1429.9,48.6,1769.3,0
,Number of Clearances,,0,0,2,15,17,158,4,196,0
,Percent Cleared,,0,0,150,400,375,359,300,361,0
,Number of Arrests,,0,0,0,11,16,67,0,94,0
NJ0170000,SALEM CO SHERIFF'S DEPT,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,0,0,0,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0171200,SALEM PD,4726,,,,,,,,,
,Number of Offenses,,1,2,15,20,50,86,19,193,12
,"Rate Per 100,000",,21.2,42.4,317.4,423.2,1058,1819.7,402,4083.8,0
,Number of Clearances,,1,0,6,3,11,19,2,42,0
,Percent Cleared,,100,0,132,54,66,68,29,65,0
,Number of Arrests,,1,0,6,2,11,18,2,40,0
NJ0171500,WOODSTOWN BORO PD,3447,,,,,,,,,
,Number of Offenses,,1,1,4,30,36,52,7,131,12
,"Rate Per 100,000",,21.2,21.2,84.6,642.6,832.3,1210.2,148.1,2960.4,0
,Number of Clearances,,0,1,0,9,8,4,1,23,0
,Percent Cleared,,0,100,0,128,30,33,14,49,0
,Number of Arrests,,0,1,0,8,11,2,0,22,0
,County Totals - Salem County,,,,,,,,,,
,Population,36941,,,,,,,,,
,Number of Offenses,,3,17,27,64,138,642.1,66,957.1,0
,"Rate Per 100,000",,6,43.9,58.9,143,252.9,865.8,86.1,1456.7,0
,Number of Clearances,,3,4,10,31,133,192,108,295,0
,Percent Cleared,,200,51,125,152,91,140,68,127,0
,Number of Arrests,,1,2,11,29,32,121,7,203,0
